stop_id,stop_code,stop_name,stop_lat,stop_long
1,CTA2116,Roche Tinard,,
2,CTA136,7 Sonnettes,,
3,CTA2324,Accueil Clinique,,
4,CTA1321,AFPA,,
5,CTA1480,Aliénor D'Aquitaine,,
6,CTA2400,Allard,,
7,CTA1241,Allonneau,,
8,CTA1246,André Leroy,,
9,CTA1374,Angers Roseraie,,
10,CTA1243,Anne Frank,,
11,CTA1247,Appentis,,
12,CTA2456,Aragon,,
13,CTA1248,Arboretum,,
14,CTA1249,Arceau,,
15,CTA2422,Arobase,,
16,CTA1252,Arts et Métiers,,
17,CTA1655,Auriol,,
18,CTA1258,Auvergne,,
19,CTA1260,Ballour,,
20,CTA77,Bamako,,
21,CTA1631,Banchais,,
22,CTA1263,Barra,,
23,CTA1272,Beaurepaire,,
24,CTA1273,Beauval,,
25,CTA1276,Bellefontaine,,
26,CTA2426,Berges de Maine,,
27,CTA1283,Bichon,,
28,CTA1284,Bigot,,
29,CTA1637,Birgé,,
30,CTA1286,Blandeau,,
31,CTA1189,Blériot,,
32,CTA1287,Bois l'Abbé,,
33,CTA93,Boisramé,,
34,CTA2351,Bon Pasteur,,
35,CTA1289,Boreau,,
36,CTA1296,Bouché Thomas,,
38,CTA1294,Bourgonnier,,
39,CTA1706,Brisepotière,,
40,CTA1274,Bédier,,
41,CTA1308,Camus,,
42,CTA1304,Camélia,,
43,CTA1310,Capucins,,
44,CTA1312,Carnot,,
45,CTA2079,Carrefour St Serge,,
46,CTA2321,CCI,,
47,CTA2487,Centre De Tri,,
48,CTA166,Chalouère,,
49,CTA2317,Chanzy,,
50,CTA92,Chapelle Belle Beille,,
51,CTA1326,Charnasserie,,
52,CTA47,Chatenay,,
53,CTA1336,Chouanière,,
54,CTA2429,CHU - Hôpital,,
55,CTA1330,Château,,
56,CTA1328,Châtelain,,
57,CTA1340,Cimetière de l'Est,,
58,CTA1345,Cimetière de l'Ouest,,
59,CTA96,Cité Universitaire,,
60,CTA73,Claudel,,
61,CTA1396,Clinique de l'Anjou,,
62,CTA1351,Clouet,,
