route_id,trip_id,trip_headsign,service_id
1,1n0,Angers - Monplaisir,lmmjv
1,1i0,Angers - Maison de Technopole,lmmjv
3,3n0,Angers - Monplaisir,s
3,3ia,Angers - Cité Universitaire,s
3,3i0,Beaucouzé - L'Hoirie,s
4,4i0,Trélazé - Huit Mai Trélazé,lmmjv
4,4n0,Saint-Sylvain-d'Anjou - St Sylvain,lmmjv
4,4na,Saint-Sylvain-d'Anjou - Parc des Expositions,lmmjv
4,4nb,Angers - Banchais,lmmjv
6,6i0,Trélazé - Buisson,s
6,6n0,Angers - Lorraine,s
7,7i0,Mûrs-Erigné - Mûrs Erigné,lmmjv
7,7n0,Avrillé - Avrillé Adezière,lmmjv
7,7na,Avrillé - Avrillé Salette,lmmjv
9,9n0,Avrillé - Val d'or,s
9,9i0,Les Ponts-de-Cé - Mairie des Ponts de Ce,s
10,10i0,Beaucouzé - Beaucouzé - Haute Roche,lmmjv
10,10ia,Beaucouzé - L'Atoll - Beaucouzé,lmmjv
10,10n0,Saint-Barthélemy-d'Anjou - St Barthélemy,lmmjv
10,10na,Angers - Lorraine,lmmjv
12,12i0,Angers - Lorraine,s
12,12ia,Angers - Foch - Maison Bleue,s
12,12n0,Saint-Barthélemy-d'Anjou - Verdun,s
13,13n0,Angers - Gares Brémont,lmmjv
13,13na,Angers - Gares Semard,lmmjv
13,13nb,Sainte-Gemmes-sur-Loire - Le Fresne,lmmjv
13,13nc,Angers - Roseraie Gaubourgs,lmmjv
14,14n0,Angers - Gares Brémont,lmmjv
14,14na,Angers - Place de l'Europe,lmmjv
14,14nb,Angers - De Lattre,lmmjv
15,15n0,Saint-Barthélemy-d'Anjou - ZI Est,lmmjv
15,15i0,Bouchemaine - Chantourteau,lmmjv
15,15ia,Bouchemaine - Val de Maine,lmmjv
15,15ib,Bouchemaine - Harenchères,lmmjv
15,15ic,Bouchemaine - Bouchemaine,lmmjv
16,16n0,Montreuil-Juigné - Béné,lmmjv
16,16na,Montreuil-Juigné - Montreuil,lmmjv
16,16nb,Feneu - Eglise De Feneu,lmmjv
16,16i0,Angers - Lorraine,lmmjv
16,16ia,Avrillé - Avrillé - Ardenne,lmmjv
